,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,,Secondaries to chose from:,
Matt,scribblenauts.wikia.com,28210,Gaming,Action| Nintendo DS| iOS| Android| Platformer,,,
Matt,deadfrontier.wikia.com,10022,Gaming,Free-to-Play| Horror| Mac| MMO| PC| Survival,,,
Matt,marvel-war-of-heroes.wikia.com,620217,Gaming,Android| Heroes| iOS| Comics| Heroes,,,
Matt,pixeldungeon.wikia.com,671704,Gaming,android| fantasy| RPG,,,
Matt,spore.wikia.com,3085,Gaming,sci-fi| simulation| strategy| action| survival| science| RPG| PC| Mac| iOS,,,
Matt,mtg.wikia.com,848,Gaming,fantasy| trading card game (TCG)| strategy,,,
Matt,nwn2.wikia.com,3595,Gaming,fantasy| adventure| RPG| PC| Mac| ,,,
Matt,drakengard.wikia.com,57800,Gaming,fantasy| PlayStation  Xbox 36 action| RPG,,,
Matt,doodlegod.wikia.com,140095,Gaming,fantasy| iOS| Android| Mobile,,,
Matt,disgaea.wikia.com,5682,Gaming,fantasy| strategy| RPG|comics| anime| Play Station 3,,,
Matt,destiny.wikia.com,604797,Gaming,sci-fi| action| RPG| shooter| PlayStation  PlayStation  Xbox36 Xbox One,,,
Matt,honorbound-juicebox.wikia.com,914818,Gaming,mobile| iOS| Android| RPG| heroes| action| fighting| fantasy| strategy,,,
Matt,fliplinestudios.wikia.com,354464,Gaming,free-to-play| strategy| food and drink,,,
Matt,planetside.wikia.com,300851,Gaming,MMO| shooter| action| fighting| sci-fi| free-to-play| PC| PlayStation 4,,,
Matt,tera.wikia.com,44396,Gaming,MMO| RPG| fantasy| action| fighting| PC| free-to-play,,,
Matt,arkhamcity.wikia.com,389015,Gaming,Heroes| comics| action| adventure| Xbox 36 PlayStation  PC| Mac| PlayStation  Xbox One,,,
